,넘버 제목,배우,앨범,가사,정제
137,칠흑같이 어두운 밤,정예슬,Nine Tails in New York,"널 사랑해 하트하트 쏴줄게요
친구밖에 모르는 내 커다란 마음에
들어와요 LOVE, LOVE, LOVE, LOVE

니가 기쁠 땐 세상이 더 아름다워
내 기분은 막 행복해져

니가 슬플 땐 둘도 없는 친구처럼
더 따뜻하게 안아줄게

하늘은 분홍빛 구름은 솜사탕
달콤해 어쩜 좋아?
어떻게 나 몰라 몰라

널 사랑해 하트하트 쏴줄게요
언제나 사랑할게요
건드리면 두근두근 터질 것 같아

하트하트 쏴줄게요
친구밖에 모르는 내 커다란 마음에
들어와요 LOVE, LOVE, LOVE, LOVE

니가 힘들 땐 아낌없는 나무처럼
어깨에 기대 쉬어도 돼

하늘은 분홍빛 구름은 솜사탕
달콤해 어쩜 좋아?
어떻게 나 몰라 몰라

널 사랑해 하트하트 쏴줄게요
언제나 사랑할게요
건드리면 두근두근 터질 것 같아

하트하트 쏴줄게요
친구밖에 모르는 내 커다란 마음에
들어와요 LOVE, LOVE, LOVE, LOVE

기쁨이 될 게 내 손 잡으면 돼
너의 슈퍼걸스 너의 힘이 될게

널 사랑해 하트하트 쏴줄게요
언제나 사랑할게요
건드리면 두근두근 터질 것 같아

하트하트 쏴줄게요
친구밖에 모르는 내 커다란 마음에
들어와요 LOVE, LOVE, LOVE, LOVE

hey hey hey hey
건드리면 두근두근 터질 것 같아

하트하트 쏴줄게요
친구밖에 모르는 내 커다란 마음에
들어와요 LOVE, LOVE, LOVE, LOVE","['사랑', '하트', '하트', 'ㄹ게요', '친구', '밖에', '모르', '커다랗', '마음', '들어오', '아요', 'LOVE', 'LOVE', 'LOVE', 'LOVE', '기쁘', '세상', '아름답', '기분', '행복', '해지', '슬프', '친구', '처럼', '따뜻', 'ㄹ게', '하늘', '분홍빛', '구름', '솜사탕', '달콤', '어쩜', '어떻', '몰르', '몰르', '사랑', '하트', '하트', 'ㄹ게요', '언제나', '사랑', 'ㄹ게요', '건드리', '두근두근', '터지', '하트', '하트', 'ㄹ게요', '친구', '밖에', '모르', '커다랗', '마음', '들어오', '아요', 'LOVE', 'LOVE', 'LOVE', 'LOVE', '힘들', '에는', '아낌없', '나무', '처럼', '어깨', '기대', '어도', '하늘', '분홍빛', '구름', '솜사탕', '달콤', '어쩜', '어떻', '몰르', '몰르', '사랑', '하트', '하트', 'ㄹ게요', '언제나', '사랑', 'ㄹ게요', '건드리', '두근두근', '터지', '하트', '하트', 'ㄹ게요', '친구', '밖에', '모르', '커다랗', '마음', '들어오', '아요', 'LOVE', 'LOVE', 'LOVE', 'LOVE', '기쁨', '으면', '슈퍼', '걸스', '사랑', '하트', '하트', 'ㄹ게요', '언제나', '사랑', 'ㄹ게요', '건드리', '두근두근', '터지', '하트', '하트', 'ㄹ게요', '친구', '밖에', '모르', '커다랗', '마음', '들어오', '아요', 'LOVE', 'LOVE', 'LOVE', 'LOVE', 'hey', 'hey', 'hey', 'hey', '건드리', '두근두근', '터지', '하트', '하트', 'ㄹ게요', '친구', '밖에', '모르', '커다랗', '마음', '들어오', '아요', 'LOVE', 'LOVE', 'LOVE', 'LOVE']"
138,애련,신해랑,소리뮤지컬 면암최익현,"귓가에서 너의 귓가에서
내 목소리만 들렸으면 좋겠어
소름끼치게 소름끼치게
소름끼치게 너의 꿈 속에서도
입가에서 너의 입가에서
웃음이 새어 나오게 내가 만들어줄게
입이 찢어지도록 입이 찢어지도록
입이 찢어지도록 니가 웃을 수 있게
넌 날 무시 무시해 나를 향한
너의 마음은 언제나 무심해
내가 너를 어떻게 생각하는지
너는 모든 걸 알고 있으면서
넌 말이 너무 심해
그 예쁜 입을 잘라 키스하고파 난
새빨간 네 입술은
더욱 빨게 지겠지만
날 바라보는 네 눈빛은
달라질거야 그때쯤엔
날 사랑하는 네 눈빛은
달라질거야 그때쯤엔
사실 난 난 무시 무시해 허나
나를 향한 네 마음은 언제나 무심해
너를 사랑하는
다른 애들이 해변가라면
나는 것보다 더 깊어
저기 깊고 깊은 심해
네 손을 잡고 싶어
손목을 잘라서라도
너와 마주보고 싶어
네 목을 잘라서라도
날 바라보는 네 눈빛은
달라질거야 그때쯤엔
날 사랑하는 네 눈빛은
달라질거야 그때쯤엔
귓가에서 너의 귓가에서
내 목소리만 들렸으면 좋겠어
소름끼치게 소름끼치게
소름끼치게 너의 꿈 속에서도
입가에서 너의 입가에서
웃음이 새어 나오게 내가 만들어줄게
입이 찢어지도록 입이 찢어지도록
입이 찢어지도록 니가 웃을 수 있게
그 누가 뭐라해도 넌 내꺼야
너도 사실은 다 알고 있잖아
내게만 짓지 않는 너의 예쁜 미소
부끄러워 숨기고 있는거 다 알아 난
턱선 목젖 쇄골에 고인 땀 하나하나
다 닦아주고 싶어 메마른 내 입술로
다 감동이겠지
지금 쓰고 있는 이 글도
그러니 오늘 밤은 기대해도 돼
내가 몇 달 동안
널 위해 준비한 event
너와 함께 나눌 cake 더 딥한 date
더 더 dirty한게 있어도
참아줘 my baby
너 원하는 걸 해도 돼
그때 니 모습은 괴기해진 모양새
나와 추고 있을
dance say shell we dance
관객은 너와 내가 전부지 굳이
영원히 끝나지 않을
이 music imagine
사랑해 사랑해 사랑해 사랑해
사랑해 사랑해 사랑해 사랑해
사랑해 사랑해 사랑해 사랑해
사랑해 사랑해 사랑해 사랑해
사랑해 사랑해 사랑해 사랑해
사랑해 사랑해 사랑해 사랑해
귓가에서 내 목소리만 소름끼치게
소름끼치게 너의 꿈 속에서도
입가에서 너의 입가에서
웃음이 새어 나오게 내가 만들어줄게
입이 찢어지도록 입이 찢어지도록
입이 찢어지도록 니가 웃을 수 있게","['귓가', '귓가', '목소리', '들리', '으면', '소름', '끼치', '소름', '끼치', '소름', '끼치', '입가', '입가', '웃음', '나오', '만들', 'ㄹ게', '찢어지', '도록', '찢어지', '도록', '찢어지', '도록', '무시', '무시', '나르', '마음', '언제나', '무심', '어떻', '생각', '는지', '모든', '으면서', '너무', '심하', '예쁘', '자르', '키스', '새빨갛', '입술', '더욱', '바라보', '눈빛', '달라지', '사랑', '눈빛', '달라지', '사실', '무시', '무시', '나르', '마음', '언제나', '무심', '사랑', '해변가', '라면', '보다', '심해', '손목', '자르', '아서', '라도', '너와', '마주보', '자르', '아서', '라도', '바라보', '눈빛', '달라지', '사랑', '눈빛', '달라지', '귓가', '귓가', '목소리', '들리', '으면', '소름', '끼치', '소름', '끼치', '소름', '끼치', '입가', '입가', '웃음', '나오', '만들', 'ㄹ게', '찢어지', '도록', '찢어지', '도록', '찢어지', '도록', '어도', '어야', '사실', '잖아', '게만', '예쁘', '미소', '부끄럽', '숨기', '목젖', '쇄골', '고이', '하나하나', '메마르', '입술', '감동', '지금', '그러', '오늘', '기대', '어도', '내가', '준비', 'event', '나누', 'cake', 'date', 'dirty', '어도', 'my', 'baby', '원하', '어도', '모습', '괴기', '해지', '모양새', '나오', 'dance', 'say', 'shell', 'we', 'dance', '관객', '너와', '내가', '부지', '굳이', '영원히', '끝나', 'music', 'imagine', '사랑', '사랑', '사랑', '사랑', '사랑', '사랑', '사랑', '사랑', '사랑', '사랑', '사랑', '사랑', '사랑', '사랑', '사랑', '사랑', '사랑', '사랑', '사랑', '사랑', '사랑', '사랑', '사랑', '사랑', '귓가', '목소리', '소름', '끼치', '소름', '끼치', '입가', '입가', '웃음', '나오', '만들', 'ㄹ게', '찢어지', '도록', '찢어지', '도록', '찢어지', '도록']"
139,No.8,슬기로운 예술사회,보라빛 쉼표,"어느 날 그의 집에 찾아온
작은 모기 한 마리가 있었습니다
들어봐 우연히 들어온 식당이 글쎄 말야
상상 이상으로 대박이라서 좌표를 찍어
자 맛집으로 소문내자
별점은 물론 5 0
BLOOD
BLOOD
BLOOD
BLOOD
청량하고 짜릿한 맛 가히 중독적
많고 많은 곳들 속에서 찾게 되는 매력
아 이거 하나 먹으려고
수원에서 왔다구요
새끼손가락 둘째 마디가 특히 최고예요
맛집은 역시 세진이네
소문낼 거야 여기저기에
내년 여름엔 더 많이 찾아오게
맛집의 운명 당신의 그
손등 목덜미 오른쪽 눈
귓등 발바닥의 정중앙
끈질기게 나타날 거야
여기저기에
수틀리면 초겨울까지도 버틸 수 있어
맛집의 운명 당신의 그
손등 목덜미 오른쪽 눈
귓등 발바닥의 정중앙
손등 목덜미 오른쪽 눈
귓등 발바닥의 정중앙
손등 목덜미 오른쪽 눈
귓등 발바닥의 정중앙
손등 목덜미 오른쪽 눈
귓등 발바닥의","['찾아오', '모기', '마리', '들어보', '우연히', '들어오', '식당', '글쎄', '상상', '대박', '라서', '좌표', '소문내', 'BLOOD', 'BLOOD', 'BLOOD', 'BLOOD', '청량', '짜릿', '가히', '중독', '매력', '이거', '으려고', '수원', '다구요', '새끼손가락', '둘째', '마디', '특히', '최고', '역시', '세진', '소문', '여기저기', '내년', '여름', '많이', '찾아오', '운명', '손등', '목덜미', '오른쪽', '귓등', '발바닥', '정중앙', '끈질기', '나타나', '여기저기', '수틀리', '초겨울', '버티', '운명', '손등', '목덜미', '오른쪽', '귓등', '발바닥', '정중앙', '손등', '목덜미', '오른쪽', '귓등', '발바닥', '정중앙', '손등', '목덜미', '오른쪽', '귓등', '발바닥', '정중앙', '손등', '목덜미', '오른쪽', '귓등', '발바닥']"
140,어디에나,김찬호,뮤지컬 [니진스키] 2022 ver.,"일어나라 조국의 전사들아
맞이하라 떠오르는 태양을
살아남기 위해 살기 위해
훈련에 훈련을
민물에서 태어나 바다로 나가
역사와 전설이 되는 그날까지
돌아보지 않는다
우린 그저 나아갈 뿐
드디어 내 역사의 첫발을 내딛네
이제 여길 떠나 전설을 이루리
9년이란 세월
내가 흘린 피와 땀
고통의 순간들을 뚫고
이제 전설이 되리
내가 출정하는 빛나는 날
비가 내리네
하지만 내 맘 속에 이 빛은
사라지지 않아
앞으로만 가는 나를
돌아보게 만드는 건 오마니
살아서 조국의 통일을
눈으로 보는 영광을
그래도 조국을 위해 죽어야 한다면
너 자신 전설이 된 후 죽어야 한다
반드시 너는 전설이 돼라
죽지 말라니 구백번도 넘게
날 죽이려 했으면서
이제는 두렵지 않아
다만 날 붙드는 건
오마니 오마니 그리운 당신
당신을 두고 이제 갑니다
하지만 반드시 전설이 되어
돌아오겠습니다
가고싶고 보고싶은 오마니
그립고 만나고픈 오마니
살아만 계시라요
다시 만날 그날까지
어차피 죽음 따윈 두렵지 않아
반드시 살아남아 전설이 된다
은밀히 잠입해 위대한 전설을
은밀하게 위대하게
어차피 죽음 따윈 두렵지 않아
반드시 살아남아 전설이 된다
은밀히 잠입해 위대한 전설을
은밀하게 위대하게
전설이 된다 전설이 된다
은밀하게 위대하게
전설이 된다 전설이 된다
은밀하게 위대하게","['일어', '나라', '조국', '전사', '맞이하', '떠오르', '태양', '살아남', '위하', '위하', '훈련', '훈련', '민물', '태어나', '바다로', '역사', '전설', '그날', '돌아보', '나아가', '드디어', '역사', '첫발', '내딛', '이제', '전설', '이루', '세월', '내가', '흘리', '고통', '순간', '이제', '전설', '되리', '내가', '출정', '빛나', '비가', '내리', '사라지', '돌아보', '만들', '오마니', '아서', '조국', '통일', '영광', '그리하', '여도', '조국', '위하', '어야', 'ㄴ다면', '전설', '어야', 'ㄴ다', '전설', '라니', '죽이', '으면서', '이제', '두렵', '붙들', '오마니', '오마니', '그립', '이제', 'ㅂ니다', '전설', '돌아오', '오마니', '그립', '고프', '오마니', '아만', '계시', '라요', '다시', '만나', '그날', '어차피', '죽음', '두렵', '살아남', '전설', 'ㄴ다', '은밀히', '잠입', '위대', '전설', '은밀', '위대', '어차피', '죽음', '두렵', '살아남', '전설', 'ㄴ다', '은밀히', '잠입', '위대', '전설', '은밀', '위대', '전설', 'ㄴ다', '전설', 'ㄴ다', '은밀', '위대', '전설', 'ㄴ다', '전설', 'ㄴ다', '은밀', '위대']"
141,사랑은 아름다워,김다현,뮤지컬 루쓰,"만세 만세 만세
대한독립만세 만세
만세 만세 만세
내 나라를 위해
만세 만세
유구한 반만년의 역사
강이 되고 바다 되었네
한걸음 또 한걸음
그 빛을 향하여
내 조국 내 나라를 위해
묵묵히 걸어가리
총칼 내 목 베고
죽음이 나를 데려갈지라도
태산 같은 내 걸음 막지 못하리
앞을 항해 걸어가리
만세 만세 만세
대한독립만세 만세
만세 만세 만세
내 나라를 위해
만세 만세
물러가라 일제의 망령들아
사라져라 이 땅의 폭군들아
우리 대한은 식민지가 아니다
우리 대한은 식민지가 아니다
무단통치 무력 지배
탄압을 멈춰라
무단통치 무력 지배
일본에 항거하는 대한민족 만세
태산 같은 내 걸음
막지 못하리
앞을 항해 걸어가리라
대한의 이름으로
그 빛을 향하여
한 걸음 또 한걸음
대한독립만세 만세 만세
우리에 역사를 다시 찾으리
비록 죽을지라도 막지 못하리
우리나라를 다시 찾으리라","['만세', '만세', '만세', '독립', '만세', '만세', '만세', '만세', '만세', '나라', '위하', '만세', '만세', '유구', '반만년', '역사', '바다', '한걸음', '한걸음', '향하', '조국', '나라', '위하', '묵묵히', '걸어가', '총칼', '죽음', '데려가', 'ㄹ지라도', '태산', '걸음', '막지', '하리', '항해', '걸어가', '만세', '만세', '만세', '독립', '만세', '만세', '만세', '만세', '만세', '나라', '위하', '만세', '만세', '물러가', '일제', '망령', '사라지', '폭군', '대한', '식민지', '대한', '식민지', '무단', '통치', '무력', '지배', '탄압', '멈추', '무단', '통치', '무력', '지배', '일본', '항거', '민족', '만세', '태산', '걸음', '막지', '하리', '항해', '걸어가', '리라', '대한', '이름', '향하', '걸음', '한걸음', '독립', '만세', '만세', '만세', '역사', '다시', '으리', '을지라도', '막지', '하리', '우리나라', '다시', '으리라']"
143,증인,극단 대장부,뮤지컬 증인 OST,"나의 길 발레를 사랑해버린 운명
나의 길 첫눈에 반해버린 운명

발레를 사랑한 대가로
끝없는 이별을 하고
매일 밤 외로워야 한다면
상관없어 평생이고
외로움과 잠들면 돼

내 몸이 바람에 흩어지고
내 이름이 빛바래 사라져도
영원히 죽지 않는 것
영원히 죽지 않는 발레

내가 사랑했던 것들이
사랑받을 수 있다면 그거면 충분해
모두 나를 떠나도 두렵지 않아
그걸로 됐어

내 몸이 바람에 흩어지고
내 이름이 빛바래 사라져도
영원히 죽지 않는 것
영원히 죽지 않는 발레

단 하나의 발레","['나의', '발레', '사랑', '버리', '운명', '나의', '첫눈', '반하', '버리', '운명', '발레', '사랑', '대가', '끝없', '이별', '매일', '외로워', 'ㄴ다면', '상관없', '평생', '외로움', '잠들', '바람', '흩어지', '이름', '바래', '어도', '영원히', '영원히', '발레', '내가', '사랑', '들이', '랑받', '다면', '그거', '충분', '두렵', '바람', '흩어지', '이름', '바래', '어도', '영원히', '영원히', '발레', '발레']"
144,The Recovery of Love (Instrumental),백선우,"뮤지컬 ""샬라흐""","자 여러분 이 물 잔을 한번 보세요
컵에 물이 얼마나 있나요
어떤 이들은 반 밖에 없다 생각하고
어떤 이들은 반이나 있다하죠
부족 할 수도 충분할 수도 있죠
아 그런 게 사람 맘 아닐까요
채워질 수도 비워질 수도 있죠
그런 게 인생사 아닐까요
기분에 따라 처한 상황에 따라
나쁘고 좋은 건
생각하기 나름 아닐까요
같은 일들도 다르게 느껴지죠
정답은 당신 당신의 마음이죠
Go Let’s Go Let’s Go
아 사랑은 어쩌면 완성되어있죠
아 삶 이란 마음 먹기에
달려 있는 거죠
삶이란 날 채우고 비웠던
그 모든 날로 완성되어 지는 거죠
오해는 시간으로 이어져
그 모든 상처는 모두 녹아 내리죠
아 사랑은 어쩌면 완성되어있죠
삶이란 날 채우고 비웠던
그 모든 날로 완성되어 지는 거죠
아 삶 이란 마음 먹기에
달려 있는 거죠
오해는 시간으로 이어져
그 모든 상처는 모두 녹아 내리죠
정답은 당신의 마음
정답은 당신의 마음
정답은 당신의 마음
정답은 당신의 마음
정답은 당신 당신의 마음이죠
Go Let’s Go Let’s Go
정답은 바로 당신의 마음","['한번', '보세', '나요', '밖에', '생각', '어떻', '이나', '부족', '충분', '그러', '사람', 'ㄹ까요', '채워지', '비우', '그러', '인생사', 'ㄹ까요', '기분', '따르', '상황', '따르', '나쁘', '생각', '나름', 'ㄹ까요', '다르', '느껴지', '정답', '마음', 'Go', 'Let', 'Go', 'Let', 'Go', '사랑', '어쩌면', '완성되', '마음', '기에', '달리', '삶이', '채우', '비우', '모든', '완성되', '오해', '이어지', '모든', '상처', '내리', '사랑', '어쩌면', '완성되', '삶이', '채우', '비우', '모든', '완성되', '마음', '기에', '달리', '오해', '이어지', '모든', '상처', '내리', '정답', '마음', '정답', '마음', '정답', '마음', '정답', '마음', '정답', '마음', 'Go', 'Let', 'Go', 'Let', 'Go', '정답', '마음']"
145,원더의 공룡대모험,이일송,뮤지컬 원더의 공룡대모험,"똥차가 가면 벤ㅊ 아니 고급 승용차
새로운 좋은 차가 온다 라는
말이 있는데
정말 좋은 니가 나에게 온 것 같은데
이런 복잡한 마음은 무엇 때문일까
혹시 내가 똥인가
그놈에게 나 역시 똥차였기에
그렇게 함부로 대해진거겠지
똥인가 벤인가
혹시 내가 벤인가
아니 내가 너에게
좋은 사람이 될 수 있을지
의심 해보기도해
똥인가 벤인가
그저 한자리만 바라보던
내가 머물러 있는 내가
혹시 내가 똥은 아닐까
혹시 내가 벤이 될 수 있을까
무엇인지 알 수 없는
두려움이 날 감싸네
똥인가 벤인가 똥인가 벤인가
똥인가 벤인가 똥인가 벤인가
똥인가 벤인가 똥인가 벤인가
똥인가 벤인가 똥인가 벤인가
허접한 중고차 타면
내 인생 똥차가 되나
삼지창이 박힌 고급 달구지를 타면
내 생각 내 진심 럭셔리하게 바뀌나
당신은 누구에게 똥인가 벤인가
나에게 소중히 다가온
너에게 똥차는 되기 싫어
한걸음 더 너에게 갈게 노력할게
소중한 인연 위해
하지만 난 불안하네
근심 걱정이 앞서네
똥인가 벤인가 똥인가 벤인가
똥인가 벤인가 똥인가 벤인가
똥인가 벤인가 똥인가 벤인가
똥인가 벤인가 똥인가 벤인가","['똥차', '가면', '고급', '승용차', 'ㄴ다', '라는', '는데', '정말', '은데', '복잡', '마음', '때문', 'ㄹ까', '내가', 'ㄴ가', '그놈', '역시', '똥차', '기에', '그렇', '함부로', '대하', 'ㄴ가', '인가', '내가', '인가', '사람', '을지', '의심', '해보', 'ㄴ가', '인가', '한자리', '바라보', '내가', '머물', '내가', '내가', 'ㄹ까', '내가', '을까', 'ㄴ지', '두려움', '감싸', 'ㄴ가', '인가', 'ㄴ가', '인가', 'ㄴ가', '인가', 'ㄴ가', '인가', 'ㄴ가', '인가', 'ㄴ가', '인가', 'ㄴ가', '인가', 'ㄴ가', '인가', '접하', '중고차', '인생', '똥차', '삼지창', '박히', '고급', '달구지', '생각', '진심', '럭셔리', '바뀌', 'ㄴ가', '인가', '소중히', '다가오', '똥차', '한걸음', '갈게', '노력', '소중', '인연', '안하', '근심', '걱정', '앞서', 'ㄴ가', '인가', 'ㄴ가', '인가', 'ㄴ가', '인가', 'ㄴ가', '인가', 'ㄴ가', '인가', 'ㄴ가', '인가', 'ㄴ가', '인가', 'ㄴ가', '인가']"
146,이제 다시 시작해볼까,송미금,어린이뮤지컬(우리들의 비밀여행 꿈의 오디션),"혹시 얘 나 좋아하나
에이 뭐래
어떡하지 혹시 마음을 들킨걸까
내 마음 이런 식으로
알게끔 하고 싶지 않아
아직 누굴 만날 마음이 없다했지
하지만 담아 왔던
숨길 수 없는 나의 고백
어떡하지 내 마음이
왜 이러는 걸까
얘 나 좋아하는 것 같아
진짜 진짜로
이제껏 나에게 했던 행동들
다 알 것 같아
아니야 아직은 아니야
어떡하지 아직 준비가 안 됐는데
숨겨온 나의 감정
오늘은 터져버릴 것 같아
부시시한 머리 축 쳐저 오는
모습이 너무 귀여워
맥주를 원샷 하듯 아메리카노를
들이키는 모습도
너무 웃기지만 사랑스러워
너에게 난 친구지만 솔직하게
모든 것을 털어놓는 니가
그저 나는 너무 좋아 챙겨주고
잘해주고 싶어 널 위해서
얘는 날 잘 알아 나한테 잘해줘
잘 챙겨줘 좋은 사람인 걸
아는데 어떡하지
너에게 난 친구지만 솔직하게
모든 것을 털어놓는 니가
그저 나는 너무 좋아 챙겨주고
잘해주고 싶어 널 위해서
언제든 니가 어디 있든
달려가고 싶어
하지만 아직은 때가 아냐","['좋아하', '에이', '뭐래', '어떡하', '마음', '들키', '마음', '게끔', '아직', '만나', '마음', '숨기', '나의', '고백', '어떡하', '마음', '이러', 'ㄹ까', '좋아하', '진짜', '이제껏', '행동', '아직', '어떡', '아직', '준비', '는데', '숨기', '나의', '감정', '오늘', '터지', '버리', '부시', '시한', '머리', '모습', '너무', '귀엽', '맥주', '아메리카', '들이키', '모습', '너무', '웃기', '사랑', '스럽', '구지', '솔직', '모든', '털어놓', '너무', '챙겨주', '잘하', '어서', '한테', '잘하', '챙겨주', '사람', '는데', '어떡하', '구지', '솔직', '모든', '털어놓', '너무', '챙겨주', '잘하', '어서', '달려가', '아직', '아냐']"
147,Mozart part 2,이채은,컬러오브유어드림,"오빠 오늘도 많이 바쁜가봐요
이 자식은 정말 나쁜 놈이야
이놈은 쓰레기야 나쁜 놈이라구
이 자식은 정말 나쁜 놈이야
한두번이 아니야
바짝 내 마음을 마르게 한
얄궂은 남자라네 흥
알다가도 내 맘 모르겠어
나쁜놈은 확실해
이 사람에게 난 대체 무엇일까
이 놈에게 난 대체 어떤 사람 일까
이해해 괜찮아 그럴 수 있지
이런 말들로 그와의 사랑 이어왔지
바쁘다는 말 급한 일 생겼단 말
그런 만들이 날 외롭게 만들었어
그만 합시다 더 이상 못하겠어
너의 우선 순위 밖에 벗어나는 일
내 마음을 바닥내는일
어 전화왔네 어보세요
서울지방검찰청 최민수 검사입니다
허 그런데요
대포통장 관련 범죄에
사용되고 있어서
끊어
내 마음을 이용하기만 한
이놈은 나쁜남자
이해하려 해도 답이 없어
쓰레기는 확실해
체워지긴 커녕 비워지기만 해
우리 사이는 대체 어떤 의미일까
이해해 괜찮아 그럴 수 있지
이런 말들로 그와의 사랑 이어왔지
바쁘다는 말 급한 일 생겼단 말
그런 만들이 날 외롭게 만들었어
그만 합시다 더 이상 못하겠어
너의 우선 순위 밖에 벗어나는 일
내 마음을 바닥내는일
내 마음을 바닥내는일
너의 우선 순위 밖에 벗어나는 일
내 마음을 바닥내는일
나쁜남자","['오빠', '오늘', '많이', '바쁘', 'ㄴ가', '아요', '자식', '정말', '나쁘', '이야', '이놈', '쓰레기', '나쁘', '라구', '자식', '정말', '나쁘', '이야', '한두', '니야', '바짝', '마음', '마르', '얄궂', '남자', '다가', '모르', '나쁘', '확실', '사람', '대체', 'ㄹ까', '대체', '사람', 'ㄹ까', '이해', '괜찮', '그러', '사랑', '바쁘', '생기', '그런', '만들', '외롭', '만들', '그만', '시다', '못하', '순위', '벗어나', '마음', '바닥내', '전화', '보세', '서울', '지방', '검찰청', '민수', '검사', 'ㅂ니다', '그렇', 'ㄴ데요', '대포', '통장', '관련', '범죄', '사용', '어서', '마음', '이용', '이놈', '나쁘', '남자', '이해', '어도', '쓰레기', '확실', '체워지긴', '커녕', '비우', '지기', '사이', '대체', '의미', 'ㄹ까', '이해', '괜찮', '그러', '사랑', '바쁘', '생기', '그런', '만들', '외롭', '만들', '그만', '시다', '못하', '순위', '벗어나', '마음', '바닥내', '마음', '바닥내', '순위', '벗어나', '마음', '바닥내', '나쁘', '남자']"
148,내 이름은 신데렐라,웃는아이,웃는아이 뮤지컬 내 이름은 신데렐라,"27 28 29
돈 없어 굶을 때는 지났다
각박한 세상이 괴롭혀도
괜찮다 우리에겐 지갑이 있다
카레에 고기만
두 근 세 근 때려 박는다
백 점 시험지 없어도 장난감 다 산다
당장 안 할 게임도 일단 지른다
이런다고 뭔가 채워지는 건 아니지만
27 28 29
돈 없어 굶을 때는 지났다
각박한 세상이 괴롭혀도
괜찮다 우리에겐 지갑이 있다
난 지갑도 없다
새로운 그릇을 산다 시켜 먹겠지만
택시를 탄다 후회하겠지만
이것저것 살 수 있는 나이 됐지만
어릴 때 생각한
그 모습인지 물어보면
27 28 29
허전이 낯설 때는 지났다
각박한 세상이 괴롭혀도
괜찮다 우리에겐
27 28 29
27 28 29
27 28 29
27 28 29","['27', '28', '29', '지나', '각박', '세상', '괴롭히', '어도', '괜찮', '지갑', '카레', '고기', '때리', 'ㄴ다', '시험지', '어도', '장난감', 'ㄴ다', '게임', '지르', 'ㄴ다', '이러', 'ㄴ다고', '채워지', '27', '28', '29', '지나', '각박', '세상', '괴롭히', '어도', '괜찮', '지갑', '지갑', '새롭', '그릇', 'ㄴ다', '시키', '택시', 'ㄴ다', '후회', '이것저것', '나이', '어리', '생각', '모습', 'ㄴ지', '물어보', '27', '28', '29', '낯설', '지나', '각박', '세상', '괴롭히', '어도', '괜찮', '27', '28', '29', '27', '28', '29', '27', '28', '29', '27', '28', '29']"
149,Just Do,김지선,Letters,"밤 검은 어둠
길 잃은 영혼
새벽은 멀고
끝없는 밤
세상 그 무엇도
날 막을 수 없어
승리하겠어 끝내 이겨내
시끄러워 죽겠구만 뭐라 지껄여
가소로와 승리를 한다고
듣다보니 안쓰러워 네가 불쌍해
넌 나를 못 벗어나 절대
천만에 넌 단지 거울 속 허상
눈 감아 내쫓을 내 허상
그럴까 껍데기 네 안에 있어
끝까지 존재해 네 속에
천만에 넌 단지 벗어날 악몽
햇빛에 불타서 없어질
이 밤이 지나면 산산이 깨질
듣다보니 안쓰러워 개소리 마라
이건 꿈이 아냐 절대로
나는 너를 위해 있어 착각하지 마
네가 죽어도 나는 살아
천만에 착각은 오히려 너야
네 생명 내 손에 걸렸어
넌 절대 날 죽여 없앨 수 없어
날마다 넌 나를 숭배해
맹세코 결단코 그렇지 않아
난 너를 경멸해 저주해
난 너를 죽이고 웃음질 테다
난 살아 영원히 네 안에
아니야
사탄의 이름으로
아니야
알아 명백히 난 알아
그 어떤 이유라도 공존은 불가능해
이제 가자
떠나자 미련 없이
너나 가 너만 가
알잖아 우리는
나는 못가 너만 가
알잖아 우리는
나는 나 너는 너
난 아니야
내가 너 너는 나
제기랄 하이드!
지옥에서 썩어 문드러져라
그럼 지옥에서 만날까 지킬!
아니야
아니야
아니야","['어둠', '영혼', '새벽', '끝없', '세상', '승리', '끝내', '이기', '시끄럽', '지껄이', '가소롭', '승리', 'ㄴ다고', '안쓰럽', '불쌍', '절대', '천만', '거울', '허상', '내쫓', '허상', '그러', 'ㄹ까', '껍데기', '존재', '천만', '벗어나', '악몽', '햇빛', '불타', '지나', '산산이', '깨질', '안쓰럽', '개소리', '마라', '아냐', '절대로', '위하', '착각', '어도', '천만', '착각', '어야', '생명', '걸리', '절대', '죽이', '없애', '마다', '숭배', '맹세코', '결단', '그렇', '경멸', '저주', '죽이', '웃음', '영원히', '사탄', '이름', '명백히', '이유', '라도', '공존', '불가능', '이제', '떠나', '미련', '없이', '잖아', '못가', '잖아', '제기', '하이드', '지옥', '문드러지', '지옥', '만나', 'ㄹ까', '지키']"
